Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2024-10-14,25023.45,25159.75,25017.5,25127.95,206423311.0,21270.9
2024-10-15,25186.3,25212.05,25008.15,25057.35,257228772.0,29113.88
2024-10-16,25008.55,25093.4,24908.45,24971.3,226774456.0,24115.83
2024-10-17,25027.4,25029.5,24728.9,24749.85,252755662.0,32606.34
2024-10-18,24664.95,24886.2,24567.65,24854.05,290855392.0,31772.76
2024-10-21,24956.15,24978.3,24679.6,24781.1,241978957.0,32207.22
2024-10-22,24798.65,24882.0,24445.8,24472.1,279484697.0,32801.59
2024-10-23,24378.15,24604.25,24378.1,24435.5,284556771.0,31928.1
2024-10-24,24412.7,24480.65,24341.2,24399.4,216686434.0,27817.66
2024-10-25,24418.05,24440.25,24073.9,24180.8,372642214.0,37068.91
2024-10-28,24251.1,24492.6,24134.9,24339.15,278562235.0,28136.06
2024-10-29,24328.85,24484.5,24140.85,24466.85,332044690.0,35579.48
2024-10-30,24371.45,24498.2,24307.3,24340.85,285196335.0,31068.7
2024-10-31,24349.85,24372.45,24172.6,24205.35,287007588.0,33403.89
2024-11-01,24302.75,24368.25,24280.2,24304.35,38811387.0,3348.45
2024-11-04,24315.75,24316.75,23816.15,23995.35,285531635.0,31561.52
2024-11-05,23916.5,24229.05,23842.75,24213.3,289511197.0,30074.77
2024-11-06,24308.75,24537.6,24204.05,24484.05,351082031.0,34108.84
2024-11-07,24489.6,24503.35,24179.05,24199.35,322185588.0,30971.89
2024-11-08,24207.7,24276.15,24066.65,24148.2,298725122.0,27670.3
2024-11-11,24087.25,24336.8,24004.6,24141.3,273370562.0,26600.28
2024-11-12,24225.8,24242.0,23839.15,23883.45,255825829.0,26852.73
2024-11-13,23822.45,23873.6,23509.6,23559.05,304569316.0,27765.81
2024-11-14,23542.15,23675.9,23484.15,23532.7,257708474.0,24814.37
2024-11-18,23605.3,23606.8,23350.4,23453.8,263311912.0,25257.33
2024-11-19,23529.55,23780.65,23464.8,23518.5,297477279.0,30486.78
2024-11-21,23488.45,23507.3,23263.15,23349.9,420332354.0,40900.89
